mqtt.js:7 {1: 0, 2: 1, 3: 2, 4: 3, 5: 4, 6: 5}
mqtt.js:15 4 1684347515763 {id: '4', acc_x: 35.14927673, acc_y: -78.45320129, acc_z: 78.45080566, rot_x: 0.123105668, …}
mqtt.js:15 6 1684347515763 {id: '6', acc_x: -23.7744236, acc_y: -9.794678688, acc_z: -0.794874966, rot_x: 0.058888208, …}
mqtt.js:15 4 1684347515817 {id: '4', acc_x: 34.95774078, acc_y: -78.45320129, acc_z: 78.45080566, rot_x: 0.123638593, …}
mqtt.js:15 6 1684347515817 {id: '6', acc_x: -23.77202797, acc_y: -9.81143856, acc_z: -0.782903969, rot_x: 0.057555895, …}
mqtt.js:15 4 1684347515864 {id: '4', acc_x: 35.03914261, acc_y: -78.45320129, acc_z: 78.45080566, rot_x: 0.123638593, …}
mqtt.js:15 6 1684347515868 {id: '6', acc_x: -23.7744236, acc_y: -9.818621635, acc_z: -0.792480767, rot_x: 0.058355279, …}
mqtt.js:15 2 1684347515904 {id: '2', acc_x: 0.076614454, acc_y: 0.313640416, acc_z: 9.591172218, rot_x: -0.027179174, …}
mqtt.js:15 3 1684347515923 {id: '3', acc_x: 0, acc_y: 0, acc_z: 0, rot_x: 0, …}
mqtt.js:15 6 1684347515925 {id: '6', acc_x: -23.76963425, acc_y: -9.792284966, acc_z: -0.775721371, rot_x: 0.059154671, …}
mqtt.js:15 1 1684347515952 {id: '1', acc_x: 28.91956139, acc_y: -78.45320129, acc_z: 4.228160381, rot_x: 0.111381322, …}
mqtt.js:15 6 1684347515978 {id: '6', acc_x: -23.76963425, acc_y: -9.792284966, acc_z: -0.782903969, rot_x: 0.060220521, …}
mqtt.js:15 1 1684347516009 {id: '1', acc_x: 28.96265793, acc_y: -78.45320129, acc_z: 4.230554581, rot_x: 0.110848397, …}
mqtt.js:15 6 1684347516034 {id: '6', acc_x: -23.7648468, acc_y: -9.801861763, acc_z: -0.794874966, rot_x: 0.060220521, …}
mqtt.js:15 1 1684347516061 {id: '1', acc_x: 28.95787048, acc_y: -78.45320129, acc_z: 4.230554581, rot_x: 0.112713635, …}
mqtt.js:15 6 1684347516088 {id: '6', acc_x: -23.7648468, acc_y: -9.801861763, acc_z: -0.78050977, rot_x: 0.059687596, …}
mqtt.js:15 1 1684347516116 {id: '1', acc_x: 28.94350433, acc_y: -78.45320129, acc_z: 4.223371983, rot_x: 0.109249614, …}
mqtt.js:15 6 1684347516143 {id: '6', acc_x: -23.77921104, acc_y: -9.789890289, acc_z: -0.787692368, rot_x: 0.058621746, …}
mqtt.js:15 1 1684347516170 {id: '1', acc_x: 28.92674446, acc_y: -78.45320129, acc_z: 4.218583584, rot_x: 0.109249614, …}
mqtt.js:15 6 1684347516198 {id: '6', acc_x: -23.76963425, acc_y: -9.785101891, acc_z: -0.773327172, rot_x: 0.05808882, …}
mqtt.js:15 1 1684347516226 {id: '1', acc_x: 28.93392754, acc_y: -78.45320129, acc_z: 4.220977783, rot_x: 0.112180702, …}
mqtt.js:15 2 1684347516245 {id: '2', acc_x: 0.067037649, acc_y: 0.325611442, acc_z: 9.583989143, rot_x: -0.025313934, …}
mqtt.js:15 6 1684347516252 {id: '6', acc_x: -23.76724052, acc_y: -9.785101891, acc_z: -0.787692368, rot_x: 0.058355279, …}
mqtt.js:15 3 1684347516266 {id: '3', acc_x: 0, acc_y: 0, acc_z: 0, rot_x: 0, …}
mqtt.js:15 4 1684347516337 {id: '4', acc_x: 36.04470825, acc_y: -78.45320129, acc_z: 78.45080566, rot_x: 0.124437973, …}
