mqtt.js:7 {1: 0, 2: 1, 3: 2, 4: 3, 5: 4, 6: 5}
mqtt.js:15 1 1684347619348 {id: '1', acc_x: 28.90998459, acc_y: -78.45320129, acc_z: 4.223371983, rot_x: 0.085800916, …}
mqtt.js:15 3 1684347619368 {id: '3', acc_x: 0, acc_y: 0, acc_z: 0, rot_x: 0, …}
mqtt.js:15 6 1684347619402 {id: '6', acc_x: -23.76724052, acc_y: -9.792284966, acc_z: -0.804451764, rot_x: 0.058888208, …}
mqtt.js:15 3 1684347619416 {id: '3', acc_x: 0, acc_y: 0, acc_z: 0, rot_x: 0, …}
mqtt.js:15 6 1684347619459 {id: '6', acc_x: -23.75527, acc_y: -9.797073364, acc_z: -0.792480767, rot_x: 0.060220521, …}
mqtt.js:15 3 1684347619472 {id: '3', acc_x: 0, acc_y: 0, acc_z: 0, rot_x: 0, …}
mqtt.js:15 2 1684347619506 {id: '2', acc_x: 0.055066638, acc_y: 0.325611442, acc_z: 9.576807022, rot_x: -0.025580399, …}
mqtt.js:15 6 1684347619518 {id: '6', acc_x: -23.75527, acc_y: -9.797073364, acc_z: -0.811634362, rot_x: 0.059954058, …}
mqtt.js:15 2 1684347619558 {id: '2', acc_x: 0.047884032, acc_y: 0.313640416, acc_z: 9.583989143, rot_x: -0.023182238, …}
mqtt.js:15 6 1684347619568 {id: '6', acc_x: -23.75766373, acc_y: -9.801861763, acc_z: -0.806845963, rot_x: 0.059687596, …}
mqtt.js:15 5 1684347619575 {id: '5', acc_x: 0, acc_y: 0, acc_z: 0, rot_x: 0, …}
mqtt.js:15 6 1684347619625 {id: '6', acc_x: -23.76245117, acc_y: -9.797073364, acc_z: -0.809240162, rot_x: 0.057822358, …}
mqtt.js:15 5 1684347619626 {id: '5', acc_x: 0, acc_y: 0, acc_z: 0, rot_x: 0, …}
mqtt.js:15 4 1684347619664 {id: '4', acc_x: 35.50601196, acc_y: -78.45320129, acc_z: 78.45080566, rot_x: 0.126303226, …}
mqtt.js:15 6 1684347619678 {id: '6', acc_x: -23.7648468, acc_y: -9.801861763, acc_z: -0.797269166, rot_x: 0.057822358, …}
mqtt.js:15 1 1684347619696 {id: '1', acc_x: 28.98181152, acc_y: -78.45320129, acc_z: 4.23294878, rot_x: 0.085534461, …}
mqtt.js:15 6 1684347619734 {id: '6', acc_x: -23.76963425, acc_y: -9.794678688, acc_z: -0.804451764, rot_x: 0.056223582, …}
mqtt.js:15 1 1684347619753 {id: '1', acc_x: 28.93153381, acc_y: -78.45320129, acc_z: 4.225766182, rot_x: 0.085534461, …}
mqtt.js:15 6 1684347619787 {id: '6', acc_x: -23.75766373, acc_y: -9.797073364, acc_z: -0.811634362, rot_x: 0.055690661, …}
mqtt.js:15 1 1684347619800 {id: '1', acc_x: 28.92674446, acc_y: -78.45320129, acc_z: 4.225766182, rot_x: 0.083935678, …}
mqtt.js:15 3 1684347619815 {id: '3', acc_x: 0, acc_y: 0, acc_z: 0, rot_x: 0, …}
mqtt.js:15 6 1684347619842 {id: '6', acc_x: -23.7648468, acc_y: -9.799467087, acc_z: -0.814028561, rot_x: 0.055690661, …}
mqtt.js:15 3 1684347619874 {id: '3', acc_x: 0, acc_y: 0, acc_z: 0, rot_x: 0, …}
mqtt.js:15 6 1684347619897 {id: '6', acc_x: -23.7648468, acc_y: -9.806650162, acc_z: -0.804451764, rot_x: 0.055157732, …}
mqtt.js:15 2 1684347619910 {id: '2', acc_x: 0.047884032, acc_y: 0.316034615, acc_z: 9.579200745, rot_x: -0.025047474, …}
mqtt.js:15 6 1684347619955 {id: '6', acc_x: -23.75766373, acc_y: -9.797073364, acc_z: -0.81642276, rot_x: 0.054358348, …}
mqtt.js:15 5 1684347619968 {id: '5', acc_x: 0, acc_y: 0, acc_z: 0, rot_x: 0, …}
mqtt.js:15 6 1684347620006 {id: '6', acc_x: -23.75287437, acc_y: -9.804255486, acc_z: -0.81642276, rot_x: 0.052759573, …}
mqtt.js:15 4 1684347620019 {id: '4', acc_x: 34.60818481, acc_y: -78.45320129, acc_z: 78.45080566, rot_x: 0.128168449, …}
mqtt.js:15 6 1684347620062 {id: '6', acc_x: -23.75527, acc_y: -9.801861763, acc_z: -0.814028561, rot_x: 0.05142726, …}
mqtt.js:15 4 1684347620075 {id: '4', acc_x: 34.37594986, acc_y: -78.45320129, acc_z: 78.45080566, rot_x: 0.126836136, …}
mqtt.js:15 6 1684347620117 {id: '6', acc_x: -23.74808693, acc_y: -9.809044838, acc_z: -0.81881696, rot_x: 0.05142726, …}
mqtt.js:15 4 1684347620128 {id: '4', acc_x: 35.0487175, acc_y: -78.45320129, acc_z: 78.45080566, rot_x: 0.127369061, …}
mqtt.js:15 1 1684347620143 {id: '1', acc_x: 28.95787048, acc_y: -78.45320129, acc_z: 4.228160381, rot_x: 0.08313629, …}
mqtt.js:15 6 1684347620173 {id: '6', acc_x: -23.75527, acc_y: -9.797073364, acc_z: -0.81881696, rot_x: 0.052226644, …}
mqtt.js:15 1 1684347620198 {id: '1', acc_x: 28.99617767, acc_y: -78.45320129, acc_z: 4.230554581, rot_x: 0.085267991, …}
mqtt.js:15 3 1684347620215 {id: '3', acc_x: 0, acc_y: 0, acc_z: 0, rot_x: 0, …}
mqtt.js:15 6 1684347620227 {id: '6', acc_x: -23.7648468, acc_y: -9.799467087, acc_z: -0.81881696, rot_x: 0.051960181, …}
mqtt.js:15 2 1684347620259 {id: '2', acc_x: 0.057460841, acc_y: 0.318428814, acc_z: 9.564835548, rot_x: -0.022382848, …}
mqtt.js:15 6 1684347620282 {id: '6', acc_x: -23.76963425, acc_y: -9.789890289, acc_z: -0.821211159, rot_x: 0.050627869, …}
mqtt.js:15 5 1684347620317 {id: '5', acc_x: 0, acc_y: 0, acc_z: 0, rot_x: 0, …}
mqtt.js:15 6 1684347620338 {id: '6', acc_x: -23.76005745, acc_y: -9.792284966, acc_z: -0.821211159, rot_x: 0.048229709, …}
mqtt.js:15 5 1684347620366 {id: '5', acc_x: 0, acc_y: 0, acc_z: 0, rot_x: 0, …}
mqtt.js:15 6 1684347620392 {id: '6', acc_x: -23.75527, acc_y: -9.797073364, acc_z: -0.81881696, rot_x: 0.048229709, …}
mqtt.js:15 5 1684347620421 {id: '5', acc_x: 0, acc_y: 0, acc_z: 0, rot_x: 0, …}
mqtt.js:15 6 1684347620448 {id: '6', acc_x: -23.75766373, acc_y: -9.789890289, acc_z: -0.81881696, rot_x: 0.047963247, …}
mqtt.js:15 4 1684347620474 {id: '4', acc_x: 34.87633514, acc_y: -78.45320129, acc_z: 78.45080566, rot_x: 0.126569673, …}
mqtt.js:15 6 1684347620505 {id: '6', acc_x: -23.77202797, acc_y: -9.794678688, acc_z: -0.814028561, rot_x: 0.049828485, …}
mqtt.js:15 4 1684347620528 {id: '4', acc_x: 35.0774498, acc_y: -78.45320129, acc_z: 78.45080566, rot_x: 0.127635539, …}
mqtt.js:15 1 1684347620542 {id: '1', acc_x: 28.98181152, acc_y: -78.45320129, acc_z: 4.230554581, rot_x: 0.085001536, …}
mqtt.js:15 6 1684347620556 {id: '6', acc_x: -23.7744236, acc_y: -9.799467087, acc_z: -0.806845963, rot_x: 0.049828485, …}
mqtt.js:15 3 1684347620556 {id: '3', acc_x: 0, acc_y: 0, acc_z: 0, rot_x: 0, …}
mqtt.js:15 2 1684347620598 {id: '2', acc_x: 0.04070143, acc_y: 0.311246216, acc_z: 9.588777542, rot_x: -0.022649311, …}
mqtt.js:15 6 1684347620612 {id: '6', acc_x: -23.77202797, acc_y: -9.794678688, acc_z: -0.823605359, rot_x: 0.048762634, …}
mqtt.js:15 2 1684347620653 {id: '2', acc_x: 0.04309563, acc_y: 0.313640416, acc_z: 9.569623947, rot_x: -0.024781011, …}
mqtt.js:15 6 1684347620670 {id: '6', acc_x: -23.76724052, acc_y: -9.799467087, acc_z: -0.809240162, rot_x: 0.048229709, …}
mqtt.js:15 2 1684347620708 {id: '2', acc_x: 0.04070143, acc_y: 0.318428814, acc_z: 9.572018623, rot_x: -0.025846859, …}
mqtt.js:15 6 1684347620723 {id: '6', acc_x: -23.77202797, acc_y: -9.789890289, acc_z: -0.802057564, rot_x: 0.04769678, …}
mqtt.js:15 5 1684347620764 {id: '5', acc_x: 0, acc_y: 0, acc_z: 0, rot_x: 0, …}
mqtt.js:15 6 1684347620778 {id: '6', acc_x: -23.7744236, acc_y: -9.794678688, acc_z: -0.814028561, rot_x: 0.049562022, …}
mqtt.js:15 5 1684347620823 {id: '5', acc_x: 0, acc_y: 0, acc_z: 0, rot_x: 0, …}
mqtt.js:15 6 1684347620832 {id: '6', acc_x: -23.76963425, acc_y: -9.792284966, acc_z: -0.81881696, rot_x: 0.050627869, …}
mqtt.js:15 6 1684347620887 {id: '6', acc_x: -23.77202797, acc_y: -9.799467087, acc_z: -0.81642276, rot_x: 0.050627869, …}
mqtt.js:15 3 1684347620904 {id: '3', acc_x: 0, acc_y: 0, acc_z: 0, rot_x: 0, …}
mqtt.js:15 6 1684347620957 {id: '6', acc_x: -23.78160477, acc_y: -9.797073364, acc_z: -0.823605359, rot_x: 0.050094947, …}
mqtt.js:15 3 1684347620958 {id: '3', acc_x: 0, acc_y: 0, acc_z: 0, rot_x: 0, …}
mqtt.js:15 6 1684347620999 {id: '6', acc_x: -23.77681732, acc_y: -9.799467087, acc_z: -0.81642276, rot_x: 0.049828485, …}
mqtt.js:15 3 1684347621020 {id: '3', acc_x: 0, acc_y: 0, acc_z: 0, rot_x: 0, …}
mqtt.js:15 2 1684347621053 {id: '2', acc_x: 0.047884032, acc_y: 0.313640416, acc_z: 9.574412346, rot_x: -0.023715161, …}
mqtt.js:15 6 1684347621053 {id: '6', acc_x: -23.77202797, acc_y: -9.789890289, acc_z: -0.814028561, rot_x: 0.050627869, …}
mqtt.js:15 2 1684347621107 {id: '2', acc_x: 0.04309563, acc_y: 0.313640416, acc_z: 9.574412346, rot_x: -0.023182238, …}
mqtt.js:15 6 1684347621108 {id: '6', acc_x: -23.7648468, acc_y: -9.785101891, acc_z: -0.811634362, rot_x: 0.052759573, …}
mqtt.js:15 6 1684347621164 {id: '6', acc_x: -23.76963425, acc_y: -9.792284966, acc_z: -0.81642276, rot_x: 0.053558957, …}
