mqtt.js:5 s1: {"acc_x":-0.404620081,"acc_y":2.810792685,"acc_z":7.841010571,"rot_x":-0.140425727,"rot_y":0.304566622,"rot_z":-0.316024512}
mqtt.js:5 s1: {"acc_x":-0.804451764,"acc_y":2.592920542,"acc_z":8.568847656,"rot_x":-0.111114852,"rot_y":0.390101075,"rot_z":-0.315491587}
mqtt.js:5 s1: {"acc_x":-0.651222885,"acc_y":2.786850691,"acc_z":8.801085472,"rot_x":0.023448698,"rot_y":0.569430292,"rot_z":-0.343203664}
mqtt.js:5 s1: {"acc_x":-0.802057564,"acc_y":3.076549292,"acc_z":9.641449928,"rot_x":-0.051960181,"rot_y":0.709323108,"rot_z":-0.397295564}
mqtt.js:5 s1: {"acc_x":-0.402225882,"acc_y":3.371036053,"acc_z":10.20408726,"rot_x":0.024781011,"rot_y":0.919029117,"rot_z":-0.374912739}
mqtt.js:5 s1: {"acc_x":-0.215478152,"acc_y":3.282450438,"acc_z":10.87925243,"rot_x":-0.049295556,"rot_y":0.970722795,"rot_z":-0.442594171}
mqtt.js:5 s1: {"acc_x":-0.292092621,"acc_y":3.210624456,"acc_z":11.77229023,"rot_x":0.032508422,"rot_y":1.068248153,"rot_z":-0.472171485}
mqtt.js:5 s1: {"acc_x":-0.181959331,"acc_y":3.406949043,"acc_z":12.22239971,"rot_x":0.103387438,"rot_y":1.119675398,"rot_z":-0.494820833}
mqtt.js:5 s1: {"acc_x":-0.055066638,"acc_y":3.651157618,"acc_z":12.5456171,"rot_x":0.01385605,"rot_y":1.101822376,"rot_z":-0.367984682}
mqtt.js:5 s1: {"acc_x":0.40940848,"acc_y":3.579331636,"acc_z":12.74194145,"rot_x":-0.098058186,"rot_y":1.119941831,"rot_z":-0.423142403}
mqtt.js:5 s1: {"acc_x":0.696712673,"acc_y":3.454833031,"acc_z":13.06037045,"rot_x":-0.073277183,"rot_y":1.143923402,"rot_z":-0.426339954}
mqtt.js:5 s1: {"acc_x":0.804451764,"acc_y":3.34469986,"acc_z":12.90474701,"rot_x":0.051160797,"rot_y":1.224128604,"rot_z":-0.450055122}
mqtt.js:5 s1: {"acc_x":1.079784989,"acc_y":3.311181068,"acc_z":12.59350109,"rot_x":0.163607955,"rot_y":1.217200518,"rot_z":-0.452986211}
mqtt.js:5 s1: {"acc_x":0.950498104,"acc_y":3.294421434,"acc_z":12.00213337,"rot_x":-0.013056661,"rot_y":1.052526832,"rot_z":-0.573693693}
